season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,day_of_year,day_of_month,quarter,week,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,label
1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,1,1,1,52,False,True,False,True,False,True,985
1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,2,2,1,52,False,False,False,False,False,False,801
1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,3,3,1,1,False,False,False,False,False,False,1349
1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,4,4,1,1,False,False,False,False,False,False,1562
1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,5,5,1,1,False,False,False,False,False,False,1600
1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,6,6,1,1,False,False,False,False,False,False,1606
1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,7,7,1,1,False,False,False,False,False,False,1510
1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,8,8,1,1,False,False,False,False,False,False,959
1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,9,9,1,1,False,False,False,False,False,False,822
1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,10,10,1,2,False,False,False,False,False,False,1321
1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,11,11,1,2,False,False,False,False,False,False,1263
1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,12,12,1,2,False,False,False,False,False,False,1162
1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,13,13,1,2,False,False,False,False,False,False,1406
1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,14,14,1,2,False,False,False,False,False,False,1421
1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,15,15,1,2,False,False,False,False,False,False,1248
1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,16,16,1,2,False,False,False,False,False,False,1204
1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,17,17,1,3,False,False,False,False,False,False,1000
1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,18,18,1,3,False,False,False,False,False,False,683
1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,19,19,1,3,False,False,False,False,False,False,1650
1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,20,20,1,3,False,False,False,False,False,False,1927
1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,21,21,1,3,False,False,False,False,False,False,1543
1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,22,22,1,3,False,False,False,False,False,False,981
1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,23,23,1,3,False,False,False,False,False,False,986
1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,24,24,1,4,False,False,False,False,False,False,1416
1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,25,25,1,4,False,False,False,False,False,False,1985
1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,26,26,1,4,False,False,False,False,False,False,506
1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,27,27,1,4,False,False,False,False,False,False,431
1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,28,28,1,4,False,False,False,False,False,False,1167
1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,29,29,1,4,False,False,False,False,False,False,1098
1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,30,30,1,4,False,False,False,False,False,False,1096
1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,31,31,1,5,True,False,False,False,False,False,1501
1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,32,1,1,5,False,True,False,False,False,False,1360
1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,33,2,1,5,False,False,False,False,False,False,1526
1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,34,3,1,5,False,False,False,False,False,False,1550
1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,35,4,1,5,False,False,False,False,False,False,1708
1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,36,5,1,5,False,False,False,False,False,False,1005
1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,37,6,1,5,False,False,False,False,False,False,1623
1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,38,7,1,6,False,False,False,False,False,False,1712
1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,39,8,1,6,False,False,False,False,False,False,1530
1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,40,9,1,6,False,False,False,False,False,False,1605
1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,41,10,1,6,False,False,False,False,False,False,1538
1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,42,11,1,6,False,False,False,False,False,False,1746
1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,43,12,1,6,False,False,False,False,False,False,1472
1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,44,13,1,6,False,False,False,False,False,False,1589
1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,45,14,1,7,False,False,False,False,False,False,1913
1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,46,15,1,7,False,False,False,False,False,False,1815
1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,47,16,1,7,False,False,False,False,False,False,2115
1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,48,17,1,7,False,False,False,False,False,False,2475
1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,49,18,1,7,False,False,False,False,False,False,2927
